n_clusters,num_noise_points,use_umap,n_components,n_neighbors,quality_score,avg_same_cluster,avg_diff_cluster,n_same,n_diff,n_total,iteration,min_cluster_size,model,year,method,data_name,params
35,11682,TRUE,10,5,1.70894246646305,1.93606557377049,0.227123107307439,610,1519,4167,3,100,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_100_use_umap_TRUE_n_components_10_n_neighbors_5
35,11682,TRUE,10,5,1.70894246646305,1.93606557377049,0.227123107307439,610,1519,4167,4,100,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_100_use_umap_TRUE_n_components_10_n_neighbors_5
35,11682,TRUE,10,5,1.70894246646305,1.93606557377049,0.227123107307439,610,1519,4167,5,100,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_100_use_umap_TRUE_n_components_10_n_neighbors_5
16,13093,TRUE,10,5,1.72589361702128,1.936,0.210106382978723,625,1504,4167,1,200,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_200_use_umap_TRUE_n_components_10_n_neighbors_5
16,13093,TRUE,10,5,1.72589361702128,1.936,0.210106382978723,625,1504,4167,2,200,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_200_use_umap_TRUE_n_components_10_n_neighbors_5
16,13093,TRUE,10,5,1.72589361702128,1.936,0.210106382978723,625,1504,4167,3,200,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_200_use_umap_TRUE_n_components_10_n_neighbors_5
16,13093,TRUE,10,5,1.72589361702128,1.936,0.210106382978723,625,1504,4167,4,200,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_200_use_umap_TRUE_n_components_10_n_neighbors_5
16,13093,TRUE,10,5,1.72589361702128,1.936,0.210106382978723,625,1504,4167,5,200,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_200_use_umap_TRUE_n_components_10_n_neighbors_5
535,9558,TRUE,5,15,1.95349947193111,2.4280303030303,0.474530831099196,264,1865,4167,1,10,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_10_use_umap_TRUE_n_components_5_n_neighbors_15
535,9558,TRUE,5,15,1.95349947193111,2.4280303030303,0.474530831099196,264,1865,4167,2,10,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_10_use_umap_TRUE_n_components_5_n_neighbors_15
